epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8598,1.35216,5.51043,0.01956,0.00035,0.33333,0.00479,0.00369,1.14287,6.93411,0.01954,0.00035725,0.00035725,0.00035725
2,15.1613,1.31384,5.74985,0.02089,0.00035,0.33333,0.00785,0.00577,1.13343,6.9308,0.01961,0.000825331,0.000825331,0.000825331
3,16.4367,1.29457,5.51995,0.02093,0.00035,0.33333,0.01444,0.00725,1.21693,6.98341,0.02316,0.00128398,0.00128398,0.00128398
4,17.7053,1.39025,5.16755,0.02171,0.00035,0.33333,0.013,0.00783,1.51069,7.10668,0.0317,0.00138656,0.00138656,0.00138656
5,19.0302,1.38614,4.58744,0.02281,0.00035,0.33333,0.01809,0.00774,1.39106,7.00336,0.02907,0.00137241,0.00137241,0.00137241
6,20.2884,1.45631,4.21716,0.02365,0.00035,0.33333,0.07213,0.05813,1.55451,7.10382,0.03532,0.00135826,0.00135826,0.00135826
7,21.6155,1.48829,3.6639,0.02439,0.00035,0.33333,0.10054,0.06214,1.3006,6.80393,0.02713,0.00134412,0.00134412,0.00134412
8,23.1759,1.42253,3.37195,0.02069,0.00035,0.33333,0.11005,0.07332,1.17889,6.54535,0.02276,0.00132997,0.00132997,0.00132997
9,24.5505,1.3757,3.36175,0.02075,0.00035,0.33333,0.08845,0.06794,1.22274,6.44221,0.02415,0.00131582,0.00131582,0.00131582
10,25.8962,1.31164,3.08737,0.02009,0.16701,0.37037,0.12632,0.10356,1.09889,6.35398,0.02175,0.00130168,0.00130168,0.00130168
11,27.236,1.33181,3.13355,0.0215,0.33368,0.40741,0.1686,0.10052,1.23607,6.39661,0.02381,0.00128753,0.00128753,0.00128753
12,28.6922,1.27224,2.94686,0.02205,0.16701,0.37037,0.13309,0.07725,1.32956,6.30733,0.02538,0.00127338,0.00127338,0.00127338
13,30.0421,1.45021,2.53439,0.02092,0.33368,0.37037,0.12987,0.07809,1.5849,6.21874,0.03232,0.00125923,0.00125923,0.00125923
14,31.4058,1.34814,2.28796,0.01966,0.33368,0.44444,0.19858,0.13557,1.55735,5.89317,0.03195,0.00124509,0.00124509,0.00124509
15,32.7749,1.3662,2.5691,0.02141,0.20035,0.44444,0.19625,0.12553,1.61984,5.77609,0.03447,0.00123094,0.00123094,0.00123094
16,34.1002,1.27151,2.34324,0.01994,0.20737,0.65993,0.41786,0.22523,1.58391,5.44342,0.03254,0.00121679,0.00121679,0.00121679
17,35.5357,1.31756,2.23657,0.01989,0.17914,0.72054,0.54948,0.31016,1.51528,5.11065,0.03016,0.00120265,0.00120265,0.00120265
18,36.9501,1.34177,2.149,0.01765,0.15379,0.6835,0.50998,0.30459,1.29906,5.20731,0.0255,0.0011885,0.0011885,0.0011885
19,38.3091,1.36267,2.21353,0.02084,0.19001,0.61616,0.41676,0.24847,1.60693,5.34933,0.03228,0.00117435,0.00117435,0.00117435
20,39.6026,1.3753,2.22077,0.0208,0.14985,0.69024,0.46327,0.27619,1.43078,5.15056,0.02637,0.00116021,0.00116021,0.00116021
21,41.0247,1.39853,2.23515,0.0198,0.12838,0.75758,0.48242,0.35793,1.25785,4.59461,0.02485,0.00114606,0.00114606,0.00114606
22,42.5243,1.38958,2.07135,0.02124,0.5027,0.56296,0.5618,0.35961,1.37134,4.63637,0.02739,0.00113191,0.00113191,0.00113191
23,43.8268,1.36048,2.13023,0.0211,0.16506,0.81818,0.57494,0.36929,1.51464,4.55739,0.03082,0.00111776,0.00111776,0.00111776
24,45.2426,1.28453,2.04993,0.02085,0.1867,0.84848,0.64049,0.41154,1.40121,4.42185,0.02817,0.00110362,0.00110362,0.00110362
25,46.6296,1.29574,2.0618,0.02044,0.1793,0.93939,0.67362,0.42203,1.33314,4.28038,0.0247,0.00108947,0.00108947,0.00108947
26,47.9256,1.27283,2.00864,0.02191,0.95786,0.36401,0.61141,0.39416,1.38914,3.97199,0.02747,0.00107532,0.00107532,0.00107532
27,49.3742,1.27142,1.98385,0.02,0.85709,0.24802,0.61028,0.3972,1.33964,3.82893,0.02667,0.00106118,0.00106118,0.00106118
28,50.7109,1.28174,1.91942,0.02123,0.71182,0.41762,0.6679,0.42474,1.39824,3.77837,0.02834,0.00104703,0.00104703,0.00104703
29,52.004,1.29488,1.8941,0.01898,0.70636,0.57812,0.66436,0.42878,1.4247,3.7103,0.02702,0.00103288,0.00103288,0.00103288
30,53.3613,1.2113,1.72962,0.01701,0.77234,0.58214,0.72974,0.47231,1.39784,3.50523,0.0273,0.00101873,0.00101873,0.00101873
31,54.6562,1.17922,1.72329,0.01704,0.86729,0.60863,0.74996,0.48318,1.46234,3.35127,0.0288,0.00100459,0.00100459,0.00100459
32,56.0572,1.30381,1.76349,0.01989,0.7942,0.57306,0.74983,0.4609,1.46776,3.32545,0.02954,0.00099044,0.00099044,0.00099044
33,57.4204,1.19132,1.57954,0.01721,0.82324,0.66017,0.81118,0.51731,1.44204,3.25124,0.0286,0.000976293,0.000976293,0.000976293
34,58.755,1.19274,1.62551,0.01761,0.76975,0.63597,0.81093,0.51745,1.60915,3.16905,0.03212,0.000962146,0.000962146,0.000962146
35,60.0605,1.15578,1.61605,0.01746,0.85831,0.6154,0.82529,0.48666,1.62238,3.19083,0.03173,0.000947999,0.000947999,0.000947999
36,61.4779,1.21778,1.59684,0.01775,0.92814,0.58674,0.85164,0.49847,1.64921,3.13867,0.03179,0.000933851,0.000933851,0.000933851
37,62.8081,1.11108,1.54192,0.01465,0.76579,0.73149,0.85863,0.50408,1.73634,2.90094,0.03518,0.000919704,0.000919704,0.000919704
