epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5823,1.2213,4.73355,0.01898,0.94964,0.55803,0.56985,0.33291,1.42368,5.00421,0.02583,0.000408286,0.000408286,0.000408286
2,18.7692,1.47619,2.64108,0.02349,0.86024,0.45951,0.64529,0.27921,1.92706,3.4983,0.04047,0.000875861,0.000875861,0.000875861
3,21.1069,1.62321,2.06303,0.02818,0.90096,0.39391,0.56123,0.17499,2.14912,3.64002,0.05311,0.00133401,0.00133401,0.00133401
4,23.2813,1.61948,2.02722,0.02796,0.50336,0.62326,0.57282,0.22641,2.26138,2.63096,0.05777,0.00138656,0.00138656,0.00138656
5,25.492,1.56942,1.53055,0.02686,0.44809,0.42308,0.41918,0.13369,2.21339,3.39826,0.05352,0.00137241,0.00137241,0.00137241
6,27.7504,1.52336,1.27946,0.02378,0.41508,0.24615,0.29065,0.12427,1.95766,3.40173,0.04418,0.00135826,0.00135826,0.00135826
7,30.0521,1.52842,1.24442,0.02493,0.5879,0.31282,0.38975,0.16226,2.41086,2.68167,0.05799,0.00134412,0.00134412,0.00134412
8,32.1617,1.42334,1.09165,0.02276,0.52688,0.32051,0.36984,0.15545,2.87906,2.40462,0.07285,0.00132997,0.00132997,0.00132997
9,34.2837,1.38116,1.04471,0.02331,0.59008,0.37179,0.40326,0.17838,2.75405,1.80195,0.06922,0.00131582,0.00131582,0.00131582
10,36.4442,1.38554,1.03857,0.02118,0.38425,0.48974,0.40279,0.1814,2.33001,1.96594,0.05897,0.00130168,0.00130168,0.00130168
11,38.5926,1.41596,0.90957,0.02326,0.87808,0.50773,0.55014,0.25815,2.22275,2.06637,0.05056,0.00128753,0.00128753,0.00128753
12,40.8783,1.3484,0.97754,0.0232,0.66488,0.42651,0.44061,0.23776,2.29346,1.98766,0.05064,0.00127338,0.00127338,0.00127338
13,43.1027,1.3145,0.96724,0.02122,0.52496,0.53077,0.53887,0.25205,2.28057,1.57798,0.05401,0.00125923,0.00125923,0.00125923
14,45.2984,1.32169,0.88634,0.02153,0.60805,0.53077,0.65601,0.32096,2.03713,1.10306,0.0475,0.00124509,0.00124509,0.00124509
15,47.479,1.27565,0.9111,0.01846,0.64955,0.6374,0.7202,0.31596,1.91784,1.37375,0.04367,0.00123094,0.00123094,0.00123094
16,49.5972,1.29879,0.82317,0.02076,0.67284,0.67475,0.68965,0.33705,2.12389,1.2051,0.05081,0.00121679,0.00121679,0.00121679
17,51.8744,1.22839,0.80555,0.01941,0.57381,0.68974,0.69108,0.35574,1.92219,1.13901,0.04414,0.00120265,0.00120265,0.00120265
18,54.212,1.22231,0.83791,0.01771,0.74938,0.73242,0.75789,0.36902,1.96258,1.26385,0.04382,0.0011885,0.0011885,0.0011885
