epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0054,1.17454,4.5061,0.01838,0.52648,0.5598,0.55997,0.34409,1.44826,5.6171,0.0272,0.000408286,0.000408286,0.000408286
2,17.3593,1.6005,4.12214,0.02789,0.3598,0.02564,0.0084,0.00372,2.35837,6.99301,0.05559,0.000875861,0.000875861,0.000875861
3,21.0413,1.93397,3.67422,0.03643,0.08721,0.18462,0.0426,0.01431,2.77539,6.28848,0.06402,0.00133401,0.00133401,0.00133401
4,24.6993,2.05381,3.02967,0.03876,0.70712,0.10256,0.06032,0.01539,3.52757,10.9618,0.08629,0.00138656,0.00138656,0.00138656
5,28.2432,1.81536,2.28687,0.03002,0.25674,0.21282,0.08496,0.0166,3.19594,11.3162,0.07557,0.00137241,0.00137241,0.00137241
6,31.6724,1.70529,1.87928,0.02678,0.29327,0.27179,0.09266,0.0155,2.92414,6.20838,0.06882,0.00135826,0.00135826,0.00135826
7,35.0035,1.71463,1.89145,0.02874,0.09786,0.22821,0.06439,0.03447,2.83215,3.55581,0.06718,0.00134412,0.00134412,0.00134412
8,38.3014,1.66128,1.57838,0.02606,0.0797,0.10256,0.04006,0.01244,3.19791,5.49956,0.08018,0.00132997,0.00132997,0.00132997
9,41.5937,1.56423,1.44421,0.02595,0.4095,0.17692,0.17393,0.04498,3.04645,3.71121,0.08206,0.00131582,0.00131582,0.00131582
10,44.9169,1.52637,1.32906,0.02344,0.54203,0.52415,0.45102,0.17657,2.28654,3.92883,0.05479,0.00130168,0.00130168,0.00130168
11,48.2327,1.49817,1.19857,0.02367,0.23962,0.39487,0.26367,0.08786,2.55279,4.13489,0.0625,0.00128753,0.00128753,0.00128753
12,51.5938,1.47369,1.32063,0.02471,0.6468,0.36923,0.30254,0.17046,2.42637,5.55812,0.05727,0.00127338,0.00127338,0.00127338
13,54.9138,1.48395,1.17899,0.02409,0.53954,0.35385,0.2548,0.1356,2.32574,5.32786,0.05582,0.00125923,0.00125923,0.00125923
14,58.2228,1.43816,1.14618,0.0235,0.52146,0.47179,0.44413,0.22473,2.19774,2.83826,0.053,0.00124509,0.00124509,0.00124509
15,61.5888,1.43289,1.09561,0.02126,0.74197,0.36643,0.31204,0.1618,2.29408,3.39374,0.05288,0.00123094,0.00123094,0.00123094
16,65.0825,1.45091,1.0472,0.02315,0.8261,0.33077,0.33566,0.16153,2.15413,2.85547,0.05178,0.00121679,0.00121679,0.00121679
17,68.641,1.46424,1.14648,0.0236,0.83967,0.35075,0.34881,0.16406,2.08333,2.87153,0.04744,0.00120265,0.00120265,0.00120265
18,72.1787,1.30868,1.08476,0.01988,0.73371,0.4926,0.51652,0.27654,1.95812,1.95333,0.04497,0.0011885,0.0011885,0.0011885
19,75.817,1.40739,1.05684,0.0221,0.85921,0.60152,0.67602,0.37725,1.90314,1.66319,0.04423,0.00117435,0.00117435,0.00117435
20,79.7068,1.50379,1.05567,0.02483,0.80318,0.4641,0.5511,0.30175,1.96976,2.11855,0.04672,0.00116021,0.00116021,0.00116021
21,83.1358,1.34987,0.98316,0.02105,0.59338,0.45552,0.5554,0.31967,1.81369,1.93889,0.04143,0.00114606,0.00114606,0.00114606
22,86.8424,1.35193,0.96281,0.01988,0.81027,0.55601,0.65639,0.39668,1.62979,1.67496,0.03484,0.00113191,0.00113191,0.00113191
23,90.903,1.25995,0.95764,0.01937,0.74423,0.61974,0.65568,0.37012,1.70374,2.17453,0.03674,0.00111776,0.00111776,0.00111776
24,94.6491,1.31176,0.90843,0.02045,0.74399,0.64849,0.70649,0.43666,1.51534,1.43345,0.03077,0.00110362,0.00110362,0.00110362
25,98.5424,1.20585,0.96462,0.01776,0.93361,0.55641,0.7182,0.4182,1.52963,1.20072,0.03069,0.00108947,0.00108947,0.00108947
26,102.451,1.29838,0.96457,0.01947,0.86034,0.6328,0.78218,0.49283,1.33629,1.10896,0.026,0.00107532,0.00107532,0.00107532
27,106.426,1.29031,0.94894,0.01922,0.72657,0.7203,0.77558,0.51868,1.29457,1.02246,0.02447,0.00106118,0.00106118,0.00106118
28,110.273,1.2067,0.81391,0.01806,0.87136,0.6641,0.76339,0.44164,1.59749,1.19785,0.03384,0.00104703,0.00104703,0.00104703
29,114.06,1.21297,0.87117,0.0178,0.79952,0.72021,0.7483,0.41481,1.70673,1.20984,0.03578,0.00103288,0.00103288,0.00103288
30,117.723,1.21034,0.8644,0.0189,0.8044,0.66315,0.70442,0.39943,1.61628,1.33489,0.0308,0.00101873,0.00101873,0.00101873
31,121.265,1.20228,0.82342,0.0175,0.83909,0.65641,0.69505,0.40213,1.61602,1.35399,0.03246,0.00100459,0.00100459,0.00100459
32,124.948,1.24716,0.77133,0.01897,0.798,0.72308,0.75659,0.46399,1.49929,1.26454,0.02935,0.00099044,0.00099044,0.00099044
33,128.84,1.20506,0.83155,0.01773,0.91119,0.59744,0.70118,0.44678,1.37444,1.29359,0.02656,0.000976293,0.000976293,0.000976293
34,132.48,1.15838,0.70431,0.01687,0.75918,0.56602,0.65734,0.41064,1.47468,1.78749,0.02836,0.000962146,0.000962146,0.000962146
35,135.97,1.1564,0.71534,0.01813,0.84706,0.65232,0.6767,0.43558,1.52458,1.51004,0.03146,0.000947999,0.000947999,0.000947999
36,139.781,1.15237,0.81866,0.01726,0.89614,0.62474,0.65575,0.41731,1.56484,1.49061,0.03378,0.000933851,0.000933851,0.000933851
37,143.316,1.14803,0.74587,0.01725,0.95069,0.62334,0.65833,0.40457,1.53205,1.5306,0.03271,0.000919704,0.000919704,0.000919704
38,146.919,1.12933,0.72891,0.01679,0.87799,0.5958,0.70292,0.4376,1.5291,1.25301,0.03363,0.000905557,0.000905557,0.000905557
39,150.423,1.12013,0.77822,0.01743,0.80702,0.69351,0.8053,0.51233,1.3999,0.94985,0.02873,0.00089141,0.00089141,0.00089141
40,153.968,1.13734,0.73303,0.01682,0.84824,0.76467,0.83646,0.51645,1.43198,0.9717,0.02735,0.000877263,0.000877263,0.000877263
41,157.516,1.12571,0.70335,0.01538,0.79696,0.77405,0.83455,0.50087,1.45235,0.95857,0.02919,0.000863116,0.000863116,0.000863116
42,161.019,1.13653,0.75285,0.01748,0.91191,0.81152,0.84964,0.54473,1.3443,0.90946,0.02603,0.000848969,0.000848969,0.000848969
43,164.754,1.17821,0.76104,0.01718,0.68449,0.82875,0.79037,0.49712,1.34048,0.87085,0.02728,0.000834822,0.000834822,0.000834822
44,168.338,1.16613,0.72186,0.0179,0.92264,0.75625,0.87696,0.57731,1.35145,0.74921,0.02588,0.000820675,0.000820675,0.000820675
45,172.081,1.0864,0.70923,0.0144,0.84772,0.85521,0.88207,0.56918,1.38469,0.85841,0.02718,0.000806528,0.000806528,0.000806528
46,175.742,1.07048,0.72576,0.01658,0.82412,0.75989,0.79778,0.49699,1.44598,0.99834,0.03145,0.00079238,0.00079238,0.00079238
47,179.394,1.1081,0.68122,0.01699,0.7821,0.82308,0.83018,0.46911,1.64698,0.93379,0.03701,0.000778233,0.000778233,0.000778233
48,182.943,1.11639,0.6337,0.01773,0.95997,0.6941,0.82766,0.48717,1.65799,1.04896,0.03464,0.000764086,0.000764086,0.000764086
49,186.546,1.14305,0.6848,0.01838,0.97038,0.66622,0.82622,0.49159,1.64169,1.07031,0.03504,0.000749939,0.000749939,0.000749939
50,190.233,1.13734,0.6927,0.01687,0.91353,0.79755,0.85677,0.51623,1.55878,0.90646,0.0337,0.000735792,0.000735792,0.000735792
51,194.097,1.05184,0.65657,0.01562,0.87658,0.86115,0.89025,0.55536,1.36555,0.84127,0.02717,0.000721645,0.000721645,0.000721645
52,197.71,1.03548,0.57143,0.01436,0.75906,0.88205,0.91737,0.57206,1.3913,0.99115,0.0266,0.000707498,0.000707498,0.000707498
53,201.289,1.02142,0.57361,0.01452,0.78963,0.81538,0.89888,0.54359,1.37088,0.91172,0.02584,0.000693351,0.000693351,0.000693351
54,204.871,1.01344,0.62369,0.01499,0.82939,0.73013,0.82432,0.57575,1.25402,0.90286,0.02293,0.000679204,0.000679204,0.000679204
