epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0499,1.00066,3.44968,0.01498,0.7219,0.46635,0.5474,0.3824,1.12648,3.43524,0.02531,0.000219245,0.000219245,0.000219245
2,48.9313,1.12057,1.959,0.0175,0.54546,0.40959,0.4878,0.33976,1.23823,2.36214,0.02786,0.000437207,0.000437207,0.000437207
3,69.0404,1.22653,1.82016,0.01929,0.51653,0.40614,0.48386,0.32657,1.37663,2.09312,0.03087,0.000650767,0.000650767,0.000650767
4,88.8848,1.25616,1.7807,0.021,0.47663,0.54875,0.52695,0.34249,1.35279,1.8721,0.03063,0.00064719,0.00064719,0.00064719
5,108.74,1.26157,1.69698,0.02045,0.52903,0.56047,0.57026,0.3877,1.2881,1.6236,0.02824,0.000640587,0.000640587,0.000640587
6,128.841,1.26278,1.62423,0.02032,0.5314,0.54786,0.51818,0.31446,1.38677,2.02929,0.03197,0.000633983,0.000633983,0.000633983
7,148.604,1.23439,1.58112,0.01953,0.53494,0.55819,0.58796,0.38612,1.29712,1.54462,0.0288,0.00062738,0.00062738,0.00062738
8,168.456,1.19909,1.45808,0.019,0.60204,0.62905,0.65337,0.44959,1.27281,1.49991,0.02848,0.000620777,0.000620777,0.000620777
9,188.518,1.17674,1.40669,0.01873,0.62581,0.61691,0.64858,0.45008,1.1929,1.41551,0.02552,0.000614174,0.000614174,0.000614174
10,208.554,1.19995,1.40073,0.0189,0.59844,0.60785,0.65763,0.45249,1.20021,1.44649,0.0257,0.00060757,0.00060757,0.00060757
11,228.493,1.17436,1.29502,0.01879,0.59944,0.63451,0.67236,0.45209,1.25298,1.34793,0.02647,0.000600967,0.000600967,0.000600967
12,248.424,1.15257,1.30215,0.01812,0.64124,0.67047,0.69147,0.48207,1.19805,1.24829,0.02554,0.000594364,0.000594364,0.000594364
13,268.409,1.13167,1.25633,0.01723,0.69539,0.62602,0.67565,0.46258,1.21114,1.37707,0.02732,0.00058776,0.00058776,0.00058776
14,288.221,1.12497,1.26658,0.01706,0.61672,0.67883,0.68413,0.48327,1.19004,1.23017,0.02599,0.000581157,0.000581157,0.000581157
15,308.174,1.08925,1.15929,0.01685,0.75443,0.62467,0.68613,0.48424,1.17655,1.19517,0.02531,0.000574554,0.000574554,0.000574554
16,328.18,1.09322,1.1915,0.01698,0.67414,0.67666,0.71164,0.50761,1.16393,1.21053,0.0239,0.00056795,0.00056795,0.00056795
17,348.156,1.07327,1.0858,0.01654,0.63039,0.6806,0.67043,0.47351,1.16674,1.182,0.02537,0.000561347,0.000561347,0.000561347
18,368.014,1.10732,1.14399,0.01754,0.65485,0.65257,0.6897,0.49888,1.12343,1.20203,0.02395,0.000554744,0.000554744,0.000554744
19,387.83,1.0508,1.04166,0.01606,0.71152,0.65757,0.71312,0.5038,1.1686,1.09216,0.02505,0.000548141,0.000548141,0.000548141
20,407.67,1.03278,1.018,0.01548,0.70163,0.67387,0.71234,0.51672,1.14013,1.13023,0.0237,0.000541537,0.000541537,0.000541537
21,427.697,1.04797,1.01445,0.01592,0.70846,0.64286,0.71562,0.51395,1.14407,1.18083,0.02407,0.000534934,0.000534934,0.000534934
22,447.588,1.04296,1.03615,0.01578,0.6639,0.73248,0.71971,0.51497,1.11924,1.09804,0.02249,0.000528331,0.000528331,0.000528331
23,467.438,1.04609,1.00661,0.01597,0.74877,0.71387,0.74582,0.53187,1.12478,1.06102,0.02333,0.000521727,0.000521727,0.000521727
